NumClusters,AvgTimePerCycle,Mode
10,0.17346268656716418,SEQUENTIAL
20,0.3210588235294118,SEQUENTIAL
30,0.4644666666666667,SEQUENTIAL
40,0.5993333333333333,SEQUENTIAL
50,0.7384399999999999,SEQUENTIAL
60,0.9039611650485436,SEQUENTIAL
70,1.0349051724137932,SEQUENTIAL
80,1.1563636363636363,SEQUENTIAL
90,1.3352408759124088,SEQUENTIAL
100,1.4579902912621359,SEQUENTIAL
150,2.167890909090909,SEQUENTIAL
200,2.9134776119402988,SEQUENTIAL
250,3.5923139534883717,SEQUENTIAL
300,4.371634285714285,SEQUENTIAL
350,5.103774647887324,SEQUENTIAL
10,0.11275757575757575,PARALLEL
20,0.20078947368421052,PARALLEL
30,0.28647435897435897,PARALLEL
40,0.36364429530201337,PARALLEL
50,0.447822695035461,PARALLEL
60,0.6426756756756756,PARALLEL
70,0.7631711711711711,PARALLEL
80,0.913464,PARALLEL
90,1.0144608695652173,PARALLEL
100,1.0422068965517242,PARALLEL
150,1.285875,PARALLEL
200,2.042214814814815,PARALLEL
250,2.433662068965517,PARALLEL
300,2.925895604395604,PARALLEL
350,3.3979132947976876,PARALLEL
10,0.3408032786885246,DISTRIBUTED
20,0.44029807692307693,DISTRIBUTED
30,0.5587402597402598,DISTRIBUTED
40,0.7183055555555554,DISTRIBUTED
50,0.8443703703703704,DISTRIBUTED
60,0.9876986301369864,DISTRIBUTED
70,1.0515645161290321,DISTRIBUTED
80,1.1909433962264149,DISTRIBUTED
90,1.3020930232558139,DISTRIBUTED
100,1.4158961038961038,DISTRIBUTED
150,2.021168831168831,DISTRIBUTED
200,2.5876582278481015,DISTRIBUTED
250,3.1282499999999995,DISTRIBUTED
300,3.5635434782608693,DISTRIBUTED
350,4.0328124999999995,DISTRIBUTED
