NumSites,AvgTimePerCycle,Mode
500,0.004399999999999999,SEQUENTIAL
1000,0.0052592592592592595,SEQUENTIAL
1500,0.008517857142857143,SEQUENTIAL
2000,0.007957142857142857,SEQUENTIAL
2500,0.007529411764705882,SEQUENTIAL
3000,0.00776865671641791,SEQUENTIAL
3500,0.009488095238095238,SEQUENTIAL
4000,0.009476744186046512,SEQUENTIAL
4500,0.009436464088397788,SEQUENTIAL
5000,0.010236363636363637,SEQUENTIAL
5500,0.0111484375,SEQUENTIAL
6000,0.011470588235294118,SEQUENTIAL
6500,0.012025806451612903,SEQUENTIAL
7000,0.012316037735849055,SEQUENTIAL
7500,0.012955974842767295,SEQUENTIAL
8000,0.013615384615384616,SEQUENTIAL
8500,0.01370391061452514,SEQUENTIAL
9000,0.015401639344262296,SEQUENTIAL
9500,0.015238636363636364,SEQUENTIAL
10000,0.016900000000000002,SEQUENTIAL
10500,0.016384,SEQUENTIAL
15500,0.16839583333333333,SEQUENTIAL
20500,0.2183939393939394,SEQUENTIAL
25500,0.26967961165048543,SEQUENTIAL
30500,0.32411320754716977,SEQUENTIAL
35500,0.3761512605042017,SEQUENTIAL
40500,0.433144578313253,SEQUENTIAL
45500,0.4881458333333333,SEQUENTIAL
50500,0.54376,SEQUENTIAL
55500,0.5951830985915493,SEQUENTIAL
60500,0.6572051282051282,SEQUENTIAL
65500,0.7156206896551724,SEQUENTIAL
70500,0.7633069306930693,SEQUENTIAL
75500,0.8083783783783783,SEQUENTIAL
80500,0.8687313432835821,SEQUENTIAL
85500,0.9214070796460178,SEQUENTIAL
90500,0.9736,SEQUENTIAL
95500,1.0293835616438358,SEQUENTIAL
100500,1.0833913043478263,SEQUENTIAL
150500,1.5858181818181818,SEQUENTIAL
200500,2.1121320754716977,SEQUENTIAL
250500,2.684243902439024,SEQUENTIAL
300500,3.1306825396825397,SEQUENTIAL
500,0.0105,PARALLEL
1000,0.0106,PARALLEL
1500,0.010813333333333333,PARALLEL
2000,0.01103157894736842,PARALLEL
2500,0.010462264150943396,PARALLEL
3000,0.011683333333333334,PARALLEL
3500,0.010603305785123966,PARALLEL
4000,0.012136,PARALLEL
4500,0.010610465116279071,PARALLEL
5000,0.012006756756756755,PARALLEL
5500,0.013792792792792795,PARALLEL
6000,0.013796992481203007,PARALLEL
6500,0.014580882352941176,PARALLEL
7000,0.01183248730964467,PARALLEL
7500,0.014000000000000002,PARALLEL
8000,0.013172588832487307,PARALLEL
8500,0.01504651162790698,PARALLEL
9000,0.015281250000000001,PARALLEL
9500,0.013927374301675979,PARALLEL
10000,0.01320168067226891,PARALLEL
10500,0.014116402116402117,PARALLEL
15500,0.10606999999999998,PARALLEL
20500,0.14238095238095236,PARALLEL
25500,0.16774,PARALLEL
30500,0.208,PARALLEL
35500,0.23806249999999998,PARALLEL
40500,0.26792134831460673,PARALLEL
45500,0.30425641025641026,PARALLEL
50500,0.33304285714285714,PARALLEL
55500,0.37005263157894747,PARALLEL
60500,0.40913953488372096,PARALLEL
65500,0.43520370370370365,PARALLEL
70500,0.4618169014084507,PARALLEL
75500,0.4986060606060606,PARALLEL
80500,0.5316623376623376,PARALLEL
85500,0.5668877551020409,PARALLEL
90500,0.5906315789473685,PARALLEL
95500,0.6253698630136987,PARALLEL
100500,0.6474183673469387,PARALLEL
150500,1.009952830188679,PARALLEL
200500,1.3503859649122805,PARALLEL
250500,1.709476923076923,PARALLEL
300500,2.095175824175824,PARALLEL
500,0.041136363636363645,DISTRIBUTED
1000,0.03934375,DISTRIBUTED
1500,0.04097826086956522,DISTRIBUTED
2000,0.05086792452830188,DISTRIBUTED
2500,0.05096666666666666,DISTRIBUTED
3000,0.04174074074074074,DISTRIBUTED
3500,0.04129032258064516,DISTRIBUTED
4000,0.04854651162790697,DISTRIBUTED
4500,0.047612903225806455,DISTRIBUTED
5000,0.0519764705882353,DISTRIBUTED
5500,0.05209090909090909,DISTRIBUTED
6000,0.047947916666666666,DISTRIBUTED
6500,0.053588888888888894,DISTRIBUTED
7000,0.04489166666666667,DISTRIBUTED
7500,0.06264285714285715,DISTRIBUTED
8000,0.059219512195121955,DISTRIBUTED
8500,0.05606818181818182,DISTRIBUTED
9000,0.0526822429906542,DISTRIBUTED
9500,0.05008928571428571,DISTRIBUTED
10000,0.04856551724137931,DISTRIBUTED
10500,0.052208333333333336,DISTRIBUTED
15500,0.20885416666666667,DISTRIBUTED
20500,0.25764583333333335,DISTRIBUTED
25500,0.3216428571428572,DISTRIBUTED
30500,0.3633846153846154,DISTRIBUTED
35500,0.41183783783783784,DISTRIBUTED
40500,0.46011494252873564,DISTRIBUTED
45500,0.519939393939394,DISTRIBUTED
50500,0.5781411764705883,DISTRIBUTED
55500,0.630728813559322,DISTRIBUTED
60500,0.7124400000000002,DISTRIBUTED
65500,0.7699846153846154,DISTRIBUTED
70500,0.8159772727272727,DISTRIBUTED
75500,0.8697142857142857,DISTRIBUTED
80500,0.925203125,DISTRIBUTED
85500,0.9600428571428572,DISTRIBUTED
90500,1.0605925925925925,DISTRIBUTED
95500,1.0891728395061728,DISTRIBUTED
100500,1.1430394736842104,DISTRIBUTED
150500,1.713521739130435,DISTRIBUTED
200500,2.3308166666666663,DISTRIBUTED
250500,3.095673684210526,DISTRIBUTED
300500,3.746896103896104,DISTRIBUTED
